Part;Value;Device;Package;Description;MANUFACTURER_PART_NUMBER;VENDOR
C1;UVR1H101MPD;UVR1H101MPD;PCAP_8X11_5-THRU-ELECT;;UVR1H101MPD;Nichicon
C2;UVR1C331MPD;UVR1C331MPD;PCAP_8X11_5-THRU-ELECT;;UVR1C331MPD;Nichicon
C3;UVR1H101MPD;UVR1H101MPD;PCAP_8X11_5-THRU-ELECT;;UVR1H101MPD;Nichicon
C4;UVR1C331MPD;UVR1C331MPD;PCAP_8X11_5-THRU-ELECT;;UVR1C331MPD;Nichicon
C5;.01 uF - C0805C103K5RACTU;C-USC0805K;C0805K;CAPACITOR, American symbol;;
C6;.22 uF - C0805C223J5HACTU;C-USC0805K;C0805K;CAPACITOR, American symbol;;
C8;4.7nF - C0805C472K5RACTU ;C-USC0805K;C0805K;CAPACITOR, American symbol;;
C9;.01 uF - C0805C103K5RACTU;C-USC0805K;C0805K;CAPACITOR, American symbol;;
D1;BAT54T1GOSCT-ND;DIODESOD-123;SOD-123;Diode;;
D2;BAT54T1GOSCT-ND;DIODESOD-123;SOD-123;Diode;;
D3;BAT54T1GOSCT-ND;DIODESOD-123;SOD-123;Diode;;
D4;BAT54T1GOSCT-ND;DIODESOD-123;SOD-123;Diode;;
H1;MOUNT-PAD-ROUND2.0;MOUNT-PAD-ROUND2.0;2,0-PAD;MOUNTING PAD, round;;
H2;MOUNT-PAD-ROUND2.0;MOUNT-PAD-ROUND2.0;2,0-PAD;MOUNTING PAD, round;;
H3;MOUNT-PAD-ROUND2.0;MOUNT-PAD-ROUND2.0;2,0-PAD;MOUNTING PAD, round;;
H4;MOUNT-PAD-ROUND2.0;MOUNT-PAD-ROUND2.0;2,0-PAD;MOUNTING PAD, round;;
JP1;;PINHD-1X2;1X02;PIN HEADER;;
JP2;;PINHD-1X2;1X02;PIN HEADER;;
JP3;;PINHD-1X3;1X03;PIN HEADER;;
L1;SRN1060-331M;SRN1060-331M;IND_BOURNS_SRN1060;;SRN1060-331M;Bourns Electronics
L2;SRN1060-331M;SRN1060-331M;IND_BOURNS_SRN1060;;SRN1060-331M;Bourns Electronics
R1;1k;R-US_R0805;R0805;RESISTOR, American symbol;;
R2;1k;R-US_R0805;R0805;RESISTOR, American symbol;;
R3;33;R-US_R0805;R0805;RESISTOR, American symbol;;
R5;33;R-US_R0805;R0805;RESISTOR, American symbol;;
R6;1k;R-US_R0805;R0805;RESISTOR, American symbol;;
R7;1k;R-US_R0805;R0805;RESISTOR, American symbol;;
U$1;;LDD-H;LDD-H;LDD-H Constant Current: 300 - 1000mA;;
U$2;TL2575HV-12IKTTR;TL2575-05;TO-263-5;TL2574;;
U$3;TL2575HV-05IKTTR;TL2575-05;TO-263-5;TL2574;;
U$4;LM555CMX;LM555CMX;M08A;;LM555CMX;National Semiconductor
U$5;10k - PTV09A-2025F-B103-ND;POTENTIOMETERPTV09A_HOR;PTV09A-2;;;
U$6;LM555CMX;LM555CMX;M08A;;LM555CMX;National Semiconductor
U$7;10k - PTV09A-2025F-B103-ND;POTENTIOMETERPTV09A_HOR;PTV09A-2;;;
VD1;DFLS1100-7;DIODE-SCHOTTKY-POWER-DI-123;POWER-DI-123;SCHOTTKY DIODE;;
VD2;DFLS1100-7;DIODE-SCHOTTKY-POWER-DI-123;POWER-DI-123;SCHOTTKY DIODE;;
